,基数词,序数词
11,onze,onz-ième
12,douze,douz-ième
13,treize,treiz-ième
14,quatorze,quatorz-ième
15,quinze,quinz-ième
20,vingt,vingt-ième
30,trente,trent-ième
40,quarante,quarant-ième
50,cinquante,cinquant-ième
60,soixante,soixant-ième
70,soixante-dix,soixante-dix-ième
80,quatre-vingt,quatre-vingt-ième
90,quatre-vingt-dix,quatre-vingt-dix-ième
100,cent,cent-ième
101,cent un,cent unième
